week_end,jurisdiction,respiratory_season,inpatient_beds,inpatient_beds_occupied,inpatient_occupancy_pct,icu_beds,icu_beds_occupied,icu_occupancy_pct,covid_new_admissions,flu_new_admissions,rsv_new_admissions,hospitals_reporting_occupancy,hospitals_reporting_occupancy_pct
2024-11-09,UT,,6138,3801,61.93,1051,627,59.66,41,7,8,51,91.07
2024-11-09,VA,,16744,11335,67.70,2310,1503,65.06,119,23,32,89,89.90
2024-11-09,VI,,120,61,50.83,13,6,46.15,0,0,0,1,50.00
2024-11-09,VT,,1109,779,70.24,105,80,76.19,19,0,0,12,80.00
2024-11-09,WA,,10786,9325,86.45,1509,1172,77.67,92,13,13,92,95.83
2024-11-09,WI,,10530,7515,71.37,1541,1032,66.97,139,11,9,138,93.88
2024-11-09,WV,,5675,4011,70.68,473,385,81.40,60,5,10,53,91.38
2024-11-09,WY,,1031,385,37.34,88,35,39.77,59,8,0,22,73.33
2024-11-16,AK,,1406,1013,72.05,218,130,59.63,9,7,3,20,83.33
2024-11-16,AL,,12085,9362,77.47,2213,1700,76.82,81,44,81,95,95.00
2024-11-16,AR,,9697,5314,54.80,1388,912,65.71,41,13,20,76,81.72
2024-11-16,AS,,,,,,,,,,,0,0.00
2024-11-16,AZ,,13921,10484,75.31,2159,1498,69.38,660,357,57,84,84.85
2024-11-16,CA,,64043,48389,75.56,9582,6538,68.23,648,304,131,350,88.61
2024-11-16,CO,,13056,7773,59.54,1930,1177,60.98,161,29,17,88,88.89
2024-11-16,CT,,8887,6397,71.98,1120,751,67.05,68,5,27,31,96.88
2024-11-16,DC,,2016,1470,72.92,304,233,76.64,16,1,3,7,63.64
2024-11-16,DE,,2329,1925,82.65,259,226,87.26,18,6,43,10,90.91
2024-11-16,FL,,49899,38863,77.88,6373,4807,75.43,253,328,404,231,84.31
2024-11-16,GA,,22927,16861,73.54,3690,2773,75.15,75,40,294,130,81.25
2024-11-16,GU,,293,296,101.02,32,23,71.88,3,3,5,2,100.00
2024-11-16,HI,,2313,1701,73.54,270,193,71.48,20,15,26,24,85.71
2024-11-16,IA,,7135,4549,63.76,824,570,69.17,40,4,10,107,88.43
2024-11-16,ID,,2296,1649,71.82,309,214,69.26,22,12,1,36,76.60
2024-11-16,IL,,23740,16721,70.43,3292,2259,68.62,193,25,68,150,74.63
2024-11-16,IN,,16305,11298,69.29,2870,1957,68.19,140,26,29,133,93.66
2024-11-16,KS,,6815,4517,66.28,1018,720,70.73,42,11,3,112,78.87
2024-11-16,KY,,12333,8419,68.26,2331,1754,75.25,94,17,43,101,90.99
2024-11-16,LA,,12826,8589,66.97,2096,1473,70.28,66,83,83,131,80.86
2024-11-16,MA,,13961,11891,85.17,1314,1034,78.69,292,16,56,73,85.88
2024-11-16,MD,,10617,8657,81.54,1470,1116,75.92,66,12,71,44,86.27
2024-11-16,ME,,2737,2168,79.21,415,245,59.04,25,0,1,31,83.78
2024-11-16,MI,,17451,13079,74.95,2590,1905,73.55,600,54,47,131,83.97
2024-11-16,MN,,11612,8550,73.63,1454,1080,74.28,189,26,25,122,91.73
2024-11-16,MO,,16142,12638,78.29,2681,2048,76.39,143,29,35,110,88.71
2024-11-16,MP,,,,,,,,,,,0,0.00
2024-11-16,MS,,7478,4986,66.68,1097,653,59.53,34,24,45,84,79.25
2024-11-16,MT,,2407,1458,60.57,237,134,56.54,20,4,0,48,76.19
2024-11-16,NC,,23915,18190,76.06,3793,2820,74.35,174,37,60,118,88.72
2024-11-16,ND,,2208,1443,65.35,312,167,53.53,11,1,0,48,97.96
2024-11-16,NE,,5032,3323,66.04,669,425,63.53,35,6,2,90,92.78
2024-11-16,NH,,2807,2049,73.00,162,112,69.14,58,11,25,24,92.31
2024-11-16,NJ,,21435,15311,71.43,2939,1781,60.60,193,36,160,80,94.12
2024-11-16,NM,,4569,2678,58.61,476,337,70.80,74,18,7,38,77.55
2024-11-16,NV,,6058,4520,74.61,1202,810,67.39,67,40,11,33,67.35
2024-11-16,NY,,39011,31464,80.65,5008,3884,77.56,358,59,238,167,81.46
2024-11-16,OH,,29592,21204,71.65,4821,3422,70.98,331,579,97,195,91.12
2024-11-16,OK,,10062,7141,70.97,1341,989,73.75,71,12,7,122,86.52
2024-11-16,OR,,6941,5102,73.51,903,679,75.19,68,26,4,51,82.26
